day,site,waterLevel
2017-11-09,DF Wetland Well Shallow,0.393323985149867
2017-11-09,DK Upland Well 1,0.07469419480598355
2017-11-09,DK Wetland Well Shallow,0.22768043025084003
2017-11-09,GR Wetland Well Shallow,0.103060525875
2017-11-09,ND Upland Well 1,0.2884900374797335
2017-11-09,ND Wetland Well Shallow,0.2660495894591733
2017-11-09,QB Upland Well 1,0.4788247567927955
2017-11-09,TB Upland Well 2,0.4479900027292246
2017-11-09,TB Upland Well 3,0.5949128320105014
2017-11-09,TB Wetland Well Shallow,0.34581790273904484
2017-11-10,BB Wetland Well Shallow,0.314061564620323
2017-11-10,DB Wetland Well Shallow,0.4100169884397675
2017-11-10,DF Wetland Well Shallow,0.39412613156101695
2017-11-10,DK Upland Well 1,0.08779140267546667
2017-11-10,DK Wetland Well Shallow,0.2309890342592121
2017-11-10,GR Wetland Well Shallow,0.092379149125
